SIZE;THREAD;B_ASM;ASM;C
653376;1;10;18;5
653376;2;5;7;2
653376;4;5;5;2
653376;8;6;9;5
653376;16;13;12;9
653376;32;21;21;19
653376;64;43;43;43
653376;128;80;78;129
946940;1;11;17;3
946940;2;6;9;2
946940;4;5;6;2
946940;8;7;9;6
946940;16;11;13;9
946940;32;28;37;19
946940;64;41;49;37
946940;128;104;86;79
1294944;1;17;27;4
1294944;2;11;14;3
1294944;4;10;15;7
1294944;8;16;33;8
1294944;16;17;22;12
1294944;32;33;41;22
1294944;64;73;148;53
1294944;128;80;84;81
2764800;1;30;61;8
2764800;2;16;24;5
2764800;4;12;14;6
2764800;8;12;16;6
2764800;16;17;23;13
2764800;32;30;33;20
2764800;64;50;66;42
2764800;128;86;94;81
26205180;1;264;410;69
26205180;2;136;210;37
26205180;4;90;139;27
26205180;8;83;122;24
26205180;16;79;129;28
26205180;32;106;139;48
26205180;64;121;162;61
26205180;128;153;206;105
